symbol,strategy,label,total_return,trades,win_rate,max_drawdown,annual
600400,dual_ma,双均线金叉,-10.58,95,28.4,55.55,-1.35
600400,trend_5d,五日趋势,-40.43,160,29.4,48.98,-6.09
600400,ma60_trend,MA60趋势,0.76,94,21.3,55.8,0.09
600400,bollinger,布林带反转,-5.55,40,42.5,35.46,-0.69
600400,rsi_reversion,RSI超卖回归,81.57,18,44.4,23.2,7.5
600400,rsi_extreme,RSI极端(20/60),27.21,2,100.0,11.42,2.96
600400,pullback_20d,缩量回调20日,-47.59,20,20.0,51.5,-7.54
600400,pullback_deep,深度回调,-16.02,44,31.8,48.53,-2.1
600400,pullback_ma60,回踩MA60,-11.66,63,28.6,58.17,-1.49
600400,breakout_20d,突破20日高,72.67,52,36.5,56.72,6.85
600400,breakout_vol,放量突破,78.13,49,36.7,56.72,7.25
600400,volume_surge,量比突增,-49.6,44,25.0,69.64,-7.97
600400,momentum,20日动量,28.67,27,44.4,42.51,3.1
600400,macd_cross,MACD金叉,-31.09,84,25.0,58.0,-4.42
600400,bb_rsi,布林+RSI,25.1,24,50.0,16.64,2.75
600400,trend_pullback,趋势+回调,-21.58,64,28.1,58.66,-2.91
600400,rsi_macd,RSI+MACD,-41.26,13,15.4,46.56,-6.25
600400,breakout_ma60,MA60突破,190.93,42,45.2,44.77,13.83
002208,dual_ma,双均线金叉,42.24,137,32.1,59.22,4.31
002208,trend_5d,五日趋势,220.84,188,31.9,38.15,14.99
002208,ma60_trend,MA60趋势,9.13,126,24.6,68.34,1.05
002208,bollinger,布林带反转,-3.46,38,36.8,44.27,-0.42
002208,rsi_reversion,RSI超卖回归,239.94,20,55.0,17.19,15.79
002208,rsi_extreme,RSI极端(20/60),0.0,0,0.0,0.0,0.0
002208,pullback_20d,缩量回调20日,-49.47,47,34.0,62.97,-7.85
002208,pullback_deep,深度回调,62.05,66,40.9,41.91,5.96
002208,pullback_ma60,回踩MA60,-32.53,84,26.2,62.18,-4.61
002208,breakout_20d,突破20日高,139.88,61,39.3,55.6,11.05
002208,breakout_vol,放量突破,119.11,53,39.6,52.03,9.86
002208,volume_surge,量比突增,-38.29,41,26.8,78.92,-5.62
002208,momentum,20日动量,16.93,41,36.6,66.01,1.89
002208,macd_cross,MACD金叉,0.27,80,32.5,60.53,0.03
002208,bb_rsi,布林+RSI,36.11,28,39.3,28.14,3.76
002208,trend_pullback,趋势+回调,-49.22,99,26.3,76.03,-7.8
002208,rsi_macd,RSI+MACD,17.99,19,36.8,26.03,2.0
002208,breakout_ma60,MA60突破,74.37,53,35.8,49.42,6.89
603839,dual_ma,双均线金叉,-11.44,108,35.2,62.35,-1.46
603839,trend_5d,五日趋势,-48.43,200,28.5,69.61,-7.72
603839,ma60_trend,MA60趋势,-59.83,119,18.5,68.57,-10.47
603839,bollinger,布林带反转,-14.0,42,35.7,59.78,-1.81
603839,rsi_reversion,RSI超卖回归,21.85,31,35.5,43.03,2.43
603839,rsi_extreme,RSI极端(20/60),2.36,7,28.6,29.24,0.28
603839,pullback_20d,缩量回调20日,-31.63,41,26.8,55.29,-4.51
603839,pullback_deep,深度回调,74.41,84,39.3,48.17,6.98
603839,pullback_ma60,回踩MA60,-61.32,81,23.5,65.56,-10.88
603839,breakout_20d,突破20日高,10.15,61,32.8,42.45,1.18
603839,breakout_vol,放量突破,-36.45,49,28.6,57.46,-5.35
603839,volume_surge,量比突增,-25.87,31,22.6,43.78,-3.56
603839,momentum,20日动量,-23.56,44,36.4,73.93,-3.21
603839,macd_cross,MACD金叉,10.99,76,34.2,45.25,1.27
603839,bb_rsi,布林+RSI,-13.34,31,32.3,44.75,-1.72
603839,trend_pullback,趋势+回调,-73.23,89,24.7,78.69,-14.77
