factor,n_months,ic_mean,icir,ic_positive,ic_t
down_vol,104,0.0397,0.39,0.635,3.98
amihud,104,0.0398,0.226,0.606,2.31
mdd_1m,105,0.0355,0.225,0.61,2.3
vol_slope,102,0.0239,0.227,0.539,2.29
mdd_3m,105,0.0337,0.216,0.629,2.21
dn_shadow,104,0.0242,0.209,0.577,2.13
consec_up,105,0.0071,0.066,0.505,0.68
kurt_1m,104,0.0057,0.057,0.471,0.58
mom_120,90,-0.0024,-0.019,0.456,-0.18
mom_60,99,-0.0061,-0.04,0.505,-0.4
mom_60_120,90,-0.0082,-0.071,0.5,-0.67
dist_high,89,-0.0122,-0.073,0.483,-0.69
up_shadow,104,-0.0071,-0.074,0.5,-0.76
mom_20_60,99,-0.0106,-0.077,0.455,-0.76
mom_5,105,-0.013,-0.098,0.457,-1.0
pos_20d,104,-0.0173,-0.126,0.558,-1.29
mom_20,103,-0.0191,-0.135,0.437,-1.37
shrink_ratio,104,-0.0164,-0.146,0.404,-1.49
ma20_60,103,-0.0369,-0.234,0.388,-2.37
consec_dn,104,-0.025,-0.237,0.423,-2.42
limit_dn_1m,102,-0.0287,-0.251,0.382,-2.54
range_pos,89,-0.0443,-0.274,0.404,-2.58
bias_20,104,-0.0369,-0.27,0.433,-2.75
ma_spread,104,-0.0369,-0.27,0.433,-2.75
mom_10,104,-0.0368,-0.282,0.375,-2.88
yang_ratio,104,-0.0333,-0.293,0.385,-2.98
vol_ratio_5_20,104,-0.0285,-0.318,0.356,-3.25
big_yin,104,-0.0497,-0.331,0.394,-3.37
vol_chg_1m,102,-0.0474,-0.377,0.353,-3.81
dist_low,89,-0.0692,-0.435,0.337,-4.11
skew_1m,104,-0.0359,-0.425,0.365,-4.34
big_vol_ratio,104,-0.0499,-0.445,0.317,-4.54
vol_3m,102,-0.0838,-0.47,0.314,-4.75
vol_1m,104,-0.0876,-0.559,0.269,-5.7
vol_cv,104,-0.0598,-0.601,0.288,-6.13
amp_mean,104,-0.0937,-0.617,0.25,-6.29
big_yang,104,-0.0851,-0.624,0.25,-6.36
limit_up_1m,104,-0.0806,-0.737,0.221,-7.51
