factor,n_in,n_out,ic_in,ic_out,ic_in_t,ic_out_t,dir_ok
gap_1d,150,271,0.0314,0.0229,3.52,4.29,✓
dist_hi20,147,271,0.0075,0.0214,0.56,2.32,✓
streak_dn,149,270,0.0055,0.0117,0.62,1.83,✓
ret_3d_1d,150,271,-0.0036,0.002,-0.33,0.25,✗
vol_chg_1d,150,271,-0.009,0.0004,-1.1,0.08,✗
ret_1d,150,271,-0.0021,-0.0011,-0.2,-0.13,✓
ret_5d,149,271,-0.0172,-0.0035,-1.59,-0.42,✓
ret_3d,150,271,-0.0153,-0.0115,-1.31,-1.38,✓
close_pos,150,271,-0.0257,-0.0099,-2.54,-1.38,✓
streak_up,149,271,-0.0263,-0.0136,-2.7,-2.02,✓
vol_ratio,150,271,-0.0163,-0.0132,-1.65,-2.19,✓
bias_ma5,150,271,-0.0333,-0.0229,-2.92,-2.74,✓
ma5_above_20,149,271,-0.0292,-0.0228,-2.59,-3.02,✓
shrink_pullback,139,263,-0.032,-0.0146,-3.75,-3.2,✓
oversold,132,267,-0.0109,-0.0173,-1.19,-3.42,✓
vol_ratio_5_20,147,271,-0.0366,-0.0278,-3.72,-4.13,✓
bias_ma20,147,271,-0.0546,-0.0377,-4.19,-4.29,✓
ret_2d,150,271,-0.0174,-0.0342,-1.46,-4.35,✓
break_20,136,268,-0.0332,-0.0268,-4.03,-5.31,✓
dist_lo20,147,271,-0.0498,-0.0479,-4.04,-5.5,✓
break_10,142,269,-0.0297,-0.03,-3.65,-5.58,✓
overbought,133,269,-0.0468,-0.0351,-5.46,-6.87,✓
prev_limit,126,262,-0.0419,-0.0404,-4.35,-7.77,✓
amp_1d,150,271,-0.0576,-0.0662,-5.03,-7.84,✓
vol_10d,149,271,-0.0707,-0.0751,-5.71,-7.9,✓
near_limit,130,265,-0.0355,-0.0446,-4.44,-8.01,✓
vol_5d,150,271,-0.0623,-0.0733,-5.65,-8.59,✓
consec_limit,128,263,-0.0383,-0.0473,-4.67,-8.82,✓
hit_limit,128,263,-0.0382,-0.0473,-4.66,-8.83,✓
